Amount,Type,Belonging,Date
"29,800",Expense,Food,10/12/2025
"40,600",Expense,Food,10/12/2025
"100,000",Income,Transfered,10/5/2025
"39,900",Expense,Food,10/5/2025
"34,000",Expense,Food,10/5/2025
"16,000",Expense,Giving,9/26/2025
"17,500",Expense,Food,9/25/2025
"100,000",Income,Transfered,9/25/2025
"9,999",Income,Transfered,9/19/2025
"10,000",Income,Transfered,9/16/2025
"35,000",Income,Transfered,9/16/2025
"33,791",Expense,Food,9/16/2025
"10,650",Expense,Constant Value,9/12/2025
"25,407",Expense,Food,9/9/2025
"20,000",Income,Transfered,9/7/2025
